date,code,open,close,high,low,volume,amount,amplitude,change_pct,change,turnover,symbol,tr
2021-05-06,1,21.44,21.84,22.04,21.44,500295,1174181616.0,2.77,0.97,0.21,0.26,1,0.5999999999999979
2021-05-07,1,22.01,22.39,22.64,21.73,802214,1929112368.0,4.17,2.52,0.55,0.41,1,0.91
2021-05-10,1,22.34,22.2,22.38,21.36,661439,1566860768.0,4.56,-0.85,-0.19,0.34,1,1.0300000000000011
2021-05-11,1,21.96,21.87,22.09,21.4,497223,1161846400.0,3.11,-1.49,-0.33,0.26,1,0.8000000000000007
2021-05-12,1,21.63,21.89,21.98,21.22,533265,1245517712.0,3.48,0.09,0.02,0.27,1,0.7600000000000016
2021-05-13,1,21.86,21.41,21.93,21.18,549653,1271946304.0,3.43,-2.19,-0.48,0.28,1,0.75
2021-05-14,1,21.66,21.84,21.95,21.12,563785,1300250944.0,3.88,2.01,0.43,0.29,1,0.8299999999999983
2021-05-17,1,21.67,22.12,22.34,21.47,527565,1241605200.0,3.98,1.28,0.28,0.27,1,0.870000000000001
2021-05-18,1,22.37,22.42,22.63,21.92,395415,939786736.0,3.21,1.36,0.3,0.2,1,0.7099999999999973
2021-05-19,1,22.34,22.12,22.65,22.04,429420,1022553744.0,2.72,-1.34,-0.3,0.22,1,0.6099999999999994
2021-05-20,1,21.93,22.34,22.36,21.79,405788,957478848.0,2.58,0.99,0.22,0.21,1,0.5700000000000003
2021-05-21,1,22.4,22.01,22.61,21.55,539336,1263058112.0,4.74,-1.48,-0.33,0.28,1,1.0599999999999987
2021-05-24,1,22.0,22.0,22.12,21.71,343936,806092208.0,1.86,-0.05,-0.01,0.18,1,0.4100000000000001
2021-05-25,1,22.06,23.12,23.25,21.97,972375,2363145904.0,5.82,5.09,1.12,0.5,1,1.2800000000000011
2021-05-26,1,23.16,23.53,23.64,23.02,919264,2286540256.0,2.68,1.77,0.41,0.47,1,0.620000000000001
2021-05-27,1,23.43,23.31,23.68,23.04,504091,1246712048.0,2.72,-0.93,-0.22,0.26,1,0.6400000000000006
2021-05-28,1,23.2,23.02,23.23,22.68,492401,1200523312.0,2.36,-1.24,-0.29,0.25,1,0.629999999999999
2021-05-31,1,22.85,22.72,23.05,22.43,515351,1244209040.0,2.69,-1.3,-0.3,0.27,1,0.620000000000001
2021-06-01,1,22.72,22.44,22.77,22.02,625018,1490476624.0,3.3,-1.23,-0.28,0.32,1,0.75
2021-06-02,1,22.41,22.41,22.44,21.9,497527,1176608128.0,2.41,-0.13,-0.03,0.26,1,0.5400000000000027
2021-06-03,1,22.24,22.29,22.66,22.2,400901,958876480.0,2.05,-0.54,-0.12,0.21,1,0.4600000000000008
2021-06-04,1,22.51,23.06,23.48,22.32,756739,1851425840.0,5.2,3.45,0.77,0.39,1,1.1900000000000013
2021-06-07,1,23.0,22.82,23.0,22.45,447914,1081738832.0,2.39,-1.04,-0.24,0.23,1,0.6099999999999994
2021-06-08,1,22.67,23.05,23.09,22.47,570078,1384120304.0,2.72,1.01,0.23,0.29,1,0.620000000000001
2021-06-09,1,22.95,23.17,23.4,22.7,453832,1116771376.0,3.04,0.52,0.12,0.23,1,0.6999999999999993
2021-06-10,1,23.18,22.72,23.58,22.67,530215,1294972560.0,3.93,-1.94,-0.45,0.27,1,0.9099999999999966
2021-06-11,1,22.83,21.89,22.87,21.64,834665,1965393120.0,5.41,-3.65,-0.83,0.43,1,1.2300000000000004
2021-06-15,1,21.87,21.74,21.95,21.32,660623,1524503472.0,2.88,-0.69,-0.15,0.34,1,0.629999999999999
2021-06-16,1,21.74,21.78,21.92,21.53,378208,878470832.0,1.79,0.18,0.04,0.19,1,0.3900000000000005
2021-06-17,1,21.54,21.62,22.21,21.54,453282,1059121808.0,3.08,-0.73,-0.16,0.23,1,0.6700000000000017
2021-06-18,1,21.65,21.17,21.8,20.91,694099,1574437728.0,4.12,-2.08,-0.45,0.36,1,0.8900000000000006
2021-06-21,1,21.12,20.68,21.19,20.53,718273,1600119856.0,3.12,-2.31,-0.49,0.37,1,0.6600000000000001
2021-06-22,1,20.9,21.49,21.61,20.77,757751,1720058048.0,4.06,3.92,0.81,0.39,1,0.9299999999999996
2021-06-23,1,21.37,21.66,21.93,21.24,447908,1035835696.0,3.21,0.79,0.17,0.23,1,0.6900000000000013
2021-06-24,1,21.55,21.6,21.64,21.2,390283,894502112.0,2.03,-0.28,-0.06,0.2,1,0.4600000000000008
2021-06-25,1,21.6,21.88,22.12,21.58,559973,1310287392.0,2.5,1.3,0.28,0.29,1,0.5400000000000027
2021-06-28,1,21.88,21.3,21.91,21.0,626257,1425702208.0,4.16,-2.65,-0.58,0.32,1,0.91
2021-06-29,1,21.1,20.86,21.31,20.52,1049749,2341926368.0,3.71,-2.07,-0.44,0.54,1,0.7899999999999991
2021-06-30,1,20.88,21.14,21.45,20.87,403435,913285184.0,2.78,1.34,0.28,0.21,1,0.5899999999999999
2021-07-01,1,21.33,21.72,22.02,21.04,664833,1530548800.0,4.64,2.74,0.58,0.34,1,0.9800000000000004
2021-07-02,1,21.24,20.33,21.26,20.28,1070678,2360189792.0,4.51,-6.4,-1.39,0.55,1,1.4399999999999975
2021-07-05,1,20.21,20.58,20.67,19.61,859341,1859394320.0,5.21,1.23,0.25,0.44,1,1.0600000000000025
2021-07-06,1,20.6,21.3,21.52,20.37,791957,1784792784.0,5.59,3.5,0.72,0.41,1,1.1499999999999986
2021-07-07,1,21.2,21.07,21.57,21.02,468945,1063910096.0,2.58,-1.08,-0.23,0.24,1,0.5500000000000007
2021-07-08,1,21.3,20.03,21.3,19.72,1457059,3140657440.0,7.5,-4.94,-1.04,0.75,1,1.5800000000000018
2021-07-09,1,19.82,19.79,20.15,19.54,762365,1625461600.0,3.05,-1.2,-0.24,0.39,1,0.6099999999999994
2021-07-12,1,20.02,19.68,20.02,19.41,877901,1859059504.0,3.08,-0.56,-0.11,0.45,1,0.6099999999999994
2021-07-13,1,19.67,19.64,19.86,19.06,657614,1382029136.0,4.07,-0.2,-0.04,0.34,1,0.8000000000000007
2021-07-14,1,19.52,19.28,19.52,18.93,847951,1755810880.0,3.0,-1.83,-0.36,0.44,1,0.7100000000000009
2021-07-15,1,19.24,20.14,20.24,19.15,956003,2040266256.0,5.65,4.46,0.86,0.49,1,1.09
2021-07-16,1,19.93,19.86,20.34,19.82,573003,1230180816.0,2.58,-1.39,-0.28,0.3,1,0.5199999999999996
