date,code,open,close,high,low,volume,amount,amplitude,change_pct,change,turnover,symbol,tr
2025-04-17,600000,10.6,10.75,10.75,10.43,704203,748750237.0,3.02,1.42,0.15,0.24,600000.SH,0.3200000000000003
2025-04-18,600000,10.7,10.81,10.87,10.66,480242,518493334.0,1.95,0.56,0.06,0.16,600000.SH,0.20999999999999908
2025-04-21,600000,10.78,10.57,10.88,10.56,500535,533248958.0,2.96,-2.22,-0.24,0.17,600000.SH,0.3200000000000003
2025-04-22,600000,10.56,10.71,10.74,10.55,460472,491852201.0,1.8,1.32,0.14,0.16,600000.SH,0.1899999999999995
2025-04-23,600000,10.71,10.67,10.75,10.58,339927,362271178.0,1.59,-0.37,-0.04,0.12,600000.SH,0.16999999999999993
2025-04-24,600000,10.69,10.74,10.85,10.67,397542,428435900.0,1.69,0.66,0.07,0.14,600000.SH,0.17999999999999972
2025-04-25,600000,10.75,10.59,10.8,10.57,454472,483223746.0,2.14,-1.4,-0.15,0.15,600000.SH,0.23000000000000043
2025-04-28,600000,10.6,10.74,10.74,10.59,483822,517574620.0,1.42,1.42,0.15,0.16,600000.SH,0.15000000000000036
2025-04-29,600000,10.66,10.83,10.87,10.65,521127,562869896.0,2.05,0.84,0.09,0.18,600000.SH,0.21999999999999886
2025-04-30,600000,10.82,10.96,11.03,10.6,928380,1011035959.0,3.97,1.2,0.13,0.32,600000.SH,0.4299999999999997
2025-05-06,600000,11.0,11.17,11.19,10.8,972646,1076041107.0,3.56,1.92,0.21,0.33,600000.SH,0.3899999999999988
2025-05-07,600000,11.36,11.37,11.38,11.08,719161,811933127.0,2.69,1.79,0.2,0.25,600000.SH,0.3000000000000007
2025-05-08,600000,11.35,11.63,11.69,11.33,775985,899909970.0,3.17,2.29,0.26,0.26,600000.SH,0.35999999999999943
2025-05-09,600000,11.65,11.8,11.88,11.62,821481,967087778.0,2.24,1.46,0.17,0.28,600000.SH,0.26000000000000156
2025-05-12,600000,11.83,11.71,11.98,11.65,1064366,1258603166.0,2.8,-0.76,-0.09,0.36,600000.SH,0.33000000000000007
2025-05-13,600000,11.73,12.08,12.15,11.67,850380,1017847179.0,4.1,3.16,0.37,0.29,600000.SH,0.4800000000000004
2025-05-14,600000,11.99,12.15,12.19,11.96,721834,873575368.0,1.9,0.58,0.07,0.25,600000.SH,0.22999999999999865
2025-05-15,600000,12.17,12.29,12.35,12.09,649899,796202036.0,2.14,1.15,0.14,0.22,600000.SH,0.2599999999999998
2025-05-16,600000,12.31,12.1,12.38,12.05,610497,742473908.0,2.69,-1.55,-0.19,0.21,600000.SH,0.33000000000000007
