日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,000001,15.0,15.18,15.18,14.7,1169259,1918887056.0,3.2,1.2,0.18,0.6
2022-01-05,000001,15.1,15.67,15.74,15.07,1961998,3344124592.0,4.41,3.23,0.49,1.01
2022-01-06,000001,15.63,15.64,15.79,15.52,1107885,1896535840.0,1.72,-0.19,-0.03,0.57
2022-01-07,000001,15.62,15.72,15.8,15.58,1126631,1937710960.0,1.41,0.51,0.08,0.58
2022-01-10,000001,15.81,15.71,15.94,15.55,909774,1563414576.0,2.48,-0.06,-0.01,0.47
2022-01-11,000001,15.78,15.93,16.06,15.66,1581999,2752485392.0,2.55,1.4,0.22,0.82
2022-01-12,000001,15.93,15.52,15.97,15.42,1502164,2561266416.0,3.45,-2.57,-0.41,0.77
2022-01-13,000001,15.43,15.5,15.76,15.34,909423,1550319152.0,2.71,-0.13,-0.02,0.47
2022-01-14,000001,15.52,14.85,15.54,14.82,2103095,3459950800.0,4.65,-4.19,-0.65,1.08
2022-01-17,000001,14.87,14.74,15.0,14.64,1143689,1855633792.0,2.42,-0.74,-0.11,0.59
2022-01-18,000001,14.77,15.04,15.06,14.68,1152974,1891094608.0,2.58,2.04,0.3,0.59
2022-01-19,000001,15.06,15.02,15.21,14.88,988392,1630973584.0,2.19,-0.13,-0.02,0.51
2022-01-20,000001,14.99,15.85,15.98,14.94,3031194,5195805440.0,6.92,5.53,0.83,1.56
2022-01-21,000001,15.97,15.87,16.08,15.73,1481683,2575115120.0,2.21,0.13,0.02,0.76
2022-01-24,000001,15.86,15.72,15.9,15.5,874771,1501390336.0,2.52,-0.95,-0.15,0.45
2022-01-25,000001,15.6,15.37,15.6,15.33,1093284,1851999024.0,1.72,-2.23,-0.35,0.56
2022-01-26,000001,15.47,15.17,15.62,15.06,984975,1646384992.0,3.64,-1.3,-0.2,0.51
2022-01-27,000001,15.02,14.82,15.06,14.77,1024643,1677261296.0,1.91,-2.31,-0.35,0.53
2022-01-28,000001,14.91,14.35,14.97,14.34,1675564,2695470336.0,4.25,-3.17,-0.47,0.86
2022-02-07,000001,14.54,14.91,14.93,14.41,1515476,2451798480.0,3.62,3.9,0.56,0.78
2022-02-08,000001,14.82,15.35,15.49,14.78,1754695,2950309008.0,4.76,2.95,0.44,0.9
2022-02-09,000001,15.44,15.38,15.52,15.23,1051162,1774253632.0,1.89,0.2,0.03,0.54
2022-02-10,000001,15.29,15.51,15.55,15.19,784557,1326848944.0,2.34,0.85,0.13,0.4
2022-02-11,000001,15.55,15.62,15.86,15.55,1078139,1852167488.0,2.0,0.71,0.11,0.56
2022-02-14,000001,15.62,15.1,15.67,15.03,1150659,1917613424.0,4.1,-3.33,-0.52,0.59
2022-02-15,000001,15.02,14.8,15.19,14.62,1208264,1968985376.0,3.77,-1.99,-0.3,0.62
2022-02-16,000001,14.87,14.93,15.05,14.73,782400,1282234144.0,2.16,0.88,0.13,0.4
2022-02-17,000001,14.91,14.94,15.07,14.84,794502,1306514352.0,1.54,0.07,0.01,0.41
